Time,PID,Event
3778,10,Returning to CPU
3778,12,Job started at disk 1.
3778,10,Job arrived at CPU.
3778,10,Job started at CPU.
3791,10,Job finished at CPU.
3791,10,Going to disk
3791,10,Arrived at disk 1
3806,31,Job arrived at CPU.
3806,31,Job started at CPU.
3821,31,Job finished at CPU.
3821,31,Job complete.
3914,32,Job arrived at CPU.
3914,32,Job started at CPU.
3925,32,Job finished at CPU.
3925,32,Going to disk
3925,32,Arrived at disk 1
4030,33,Job arrived at CPU.
4030,33,Job started at CPU.
4044,33,Job finished at CPU.
4044,33,Job complete.
4154,34,Job arrived at CPU.
4154,34,Job started at CPU.
4169,34,Job finished at CPU.
4169,34,Going to disk
4169,34,Arrived at disk 2
4170,11,Job finished at disk 2.
4170,11,Returning to CPU
4170,2,Job started at disk 2.
4170,11,Job arrived at CPU.
4170,11,Job started at CPU.
4184,11,Job finished at CPU.
4184,11,Going to disk
4184,11,Arrived at disk 2
4259,35,Job arrived at CPU.
4259,35,Job started at CPU.
4274,35,Job finished at CPU.
4274,35,Going to disk
4274,35,Arrived at disk 1
4368,36,Job arrived at CPU.
4368,36,Job started at CPU.
4379,36,Job finished at CPU.
4379,36,Going to disk
4379,36,Arrived at disk 2
4467,12,Job finished at disk 1.
4467,12,Returning to CPU
4467,5,Job started at disk 1.
4467,12,Job arrived at CPU.
4467,12,Job started at CPU.
4479,37,Job arrived at CPU.
4482,12,Job finished at CPU.
4482,12,Job complete.
4482,37,Job started at CPU.
4497,37,Job finished at CPU.
4497,37,Going to disk
4497,37,Arrived at disk 1
4607,38,Job arrived at CPU.
4607,38,Job started at CPU.
4619,38,Job finished at CPU.
4619,38,Job complete.
4757,39,Job arrived at CPU.
4757,39,Job started at CPU.
4769,39,Job finished at CPU.
4769,39,Going to disk
4769,39,Arrived at disk 1
4883,2,Job finished at disk 2.
4883,2,Returning to CPU
4883,13,Job started at disk 2.
4883,2,Job arrived at CPU.
4883,2,Job started at CPU.
4893,2,Job finished at CPU.
4893,2,Going to disk
4893,2,Arrived at disk 2
4899,40,Job arrived at CPU.
4899,40,Job started at CPU.
4910,40,Job finished at CPU.
4910,40,Going to disk
4910,40,Arrived at disk 2
5044,41,Job arrived at CPU.
5044,41,Job started at CPU.
5057,41,Job finished at CPU.
5057,41,Going to disk
5057,41,Arrived at disk 1
5178,5,Job finished at disk 1.
5178,5,Returning to CPU
5178,16,Job started at disk 1.
5178,5,Job arrived at CPU.
5178,5,Job started at CPU.
5185,42,Job arrived at CPU.
5190,5,Job finished at CPU.
5190,5,Going to disk
5190,42,Job started at CPU.
5190,5,Arrived at disk 1
5203,42,Job finished at CPU.
5203,42,Going to disk
5203,42,Arrived at disk 2
5309,43,Job arrived at CPU.
5309,43,Job started at CPU.
5322,43,Job finished at CPU.
5322,43,Going to disk
5322,43,Arrived at disk 1
5421,44,Job arrived at CPU.
5421,44,Job started at CPU.
5435,44,Job finished at CPU.
5435,44,Going to disk
5435,44,Arrived at disk 2
5485,13,Job finished at disk 2.
5485,13,Returning to CPU
5485,17,Job started at disk 2.
5485,13,Job arrived at CPU.
5485,13,Job started at CPU.
5496,13,Job finished at CPU.
5496,13,Going to disk
5496,13,Arrived at disk 2
5549,45,Job arrived at CPU.
5549,45,Job started at CPU.
5559,45,Job finished at CPU.
5559,45,Going to disk
5559,45,Arrived at disk 1
5661,46,Job arrived at CPU.
5661,46,Job started at CPU.
5671,46,Job finished at CPU.
5671,46,Going to disk
5671,46,Arrived at disk 2
5780,47,Job arrived at CPU.
5780,47,Job started at CPU.
5795,47,Job finished at CPU.
5795,47,Going to disk
5795,47,Arrived at disk 1
5856,16,Job finished at disk 1.
5856,16,Returning to CPU
5856,20,Job started at disk 1.
5856,16,Job arrived at CPU.
5856,16,Job started at CPU.
5871,16,Job finished at CPU.
5871,16,Going to disk
5871,16,Arrived at disk 1
5923,48,Job arrived at CPU.
5923,48,Job started at CPU.
5938,48,Job finished at CPU.
5938,48,Job complete.
6071,49,Job arrived at CPU.
6071,49,Job started at CPU.
6086,49,Job finished at CPU.
6086,49,Going to disk
6086,49,Arrived at disk 2
6217,50,Job arrived at CPU.
6217,50,Job started at CPU.
6231,50,Job finished at CPU.
6231,50,Going to disk
6231,50,Arrived at disk 1
6337,51,Job arrived at CPU.
6337,51,Job started at CPU.
6345,17,Job finished at disk 2.
6345,17,Returning to CPU
6345,18,Job started at disk 2.
6345,17,Job arrived at CPU.
6347,51,Job finished at CPU.
6347,51,Going to disk
6347,17,Job started at CPU.
6347,51,Arrived at disk 2
6361,17,Job finished at CPU.
6361,17,Going to disk
6361,17,Arrived at disk 2
6484,52,Job arrived at CPU.
6484,52,Job started at CPU.
6494,52,Job finished at CPU.
6494,52,Going to disk
6494,52,Arrived at disk 1
6554,20,Job finished at disk 1.
6554,20,Returning to CPU
6554,7,Job started at disk 1.
6554,20,Job arrived at CPU.
6554,20,Job started at CPU.
6564,20,Job finished at CPU.
6564,20,Going to disk
6564,20,Arrived at disk 1
6612,53,Job arrived at CPU.
6612,53,Job started at CPU.
6625,53,Job finished at CPU.
6625,53,Going to disk
6625,53,Arrived at disk 2
6741,54,Job arrived at CPU.
6741,54,Job started at CPU.
6755,54,Job finished at CPU.
6755,54,Job complete.
6871,55,Job arrived at CPU.
6871,55,Job started at CPU.
6886,55,Job finished at CPU.
6886,55,Going to disk
6886,55,Arrived at disk 1
6990,56,Job arrived at CPU.
6990,56,Job started at CPU.
7000,56,Job finished at CPU.
7000,56,Going to disk
7000,56,Arrived at disk 2
7094,18,Job finished at disk 2.
7094,18,Returning to CPU
7094,21,Job started at disk 2.
7094,18,Job arrived at CPU.
7094,18,Job started at CPU.
7108,18,Job finished at CPU.
7108,18,Job complete.
7132,57,Job arrived at CPU.
7132,57,Job started at CPU.
